                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64617,                 10.051,                      0,                 1.3566,                 1.0355,                0.93744,                0.90909,                0.90772,                0.77454,                      0,                      0,                      0,                      0,                0.57665,                 11.075,                      0,                0.37429,                 1.0469,                  4e-05,                  4e-05,                  4e-05
                      2,                0.65081,                 11.008,                      0,                0.98952,                 1.0232,                0.97874,                0.90909,                0.90708,                0.75469,                      0,                      0,                      0,                      0,                0.56173,                 11.083,                      0,                0.36886,                0.97047,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                0.71652,                 10.601,                      0,                0.95658,                 1.1016,                0.98712,                0.90909,                0.90571,                0.72187,                      0,                      0,                      0,                      0,                0.63734,                 11.027,                      0,                0.53854,                 1.0005,             0.00015937,             0.00015937,             0.00015937
                      4,                0.77369,                 10.916,                      0,                0.90893,                 1.0568,                 0.9896,                0.90909,                0.90571,                0.78398,                      0,                      0,                      0,                      0,                0.56938,                 10.951,                      0,                 0.4463,                0.96528,             0.00021869,             0.00021869,             0.00021869
                      5,                0.71601,                  9.606,                      0,                0.76552,                 1.0755,                0.98998,                0.90909,                0.90579,                0.70716,                      0,                      0,                      0,                      0,                0.58182,                 10.877,                      0,                0.50569,                0.97732,             0.00027778,             0.00027778,             0.00027778
                      6,                0.82237,                 10.102,                      0,                0.88153,                 1.1029,                0.98061,                0.90909,                0.90588,                0.72874,                      0,                      0,                      0,                      0,                0.65221,                 10.827,                      0,                0.49664,                0.99781,             0.00033663,             0.00033663,             0.00033663
                      7,                0.81844,                 10.491,                      0,                0.81691,                 1.1408,                 0.9784,                0.90909,                0.90607,                 0.7706,                      0,                      0,                      0,                      0,                0.65465,                 10.739,                      0,                0.53569,                 1.0113,             0.00039525,             0.00039525,             0.00039525
                      8,                0.83361,                   9.75,                      0,                0.74649,                 1.0797,                      1,                0.89995,                0.90603,                0.74912,                      0,                      0,                      0,                      0,                 0.7263,                 10.675,                      0,                 0.6664,                 1.0675,             0.00045362,             0.00045362,             0.00045362
                      9,                0.79045,                 9.0409,                      0,                  0.894,                 1.0954,                0.87453,                0.81818,                0.88206,                0.61141,                      0,                      0,                      0,                      0,                0.87139,                  10.51,                      0,                0.75847,                  1.179,             0.00051176,             0.00051176,             0.00051176
                     10,                   0.82,                 9.8639,                      0,                0.81862,                 1.0923,                 0.8126,                0.90909,                0.88208,                0.62664,                      0,                      0,                      0,                      0,                 1.0385,                 10.489,                      0,                0.82536,                 1.2737,             0.00056966,             0.00056966,             0.00056966
                     11,                0.71777,                 9.1386,                      0,                0.73461,                 1.0095,                0.98679,                0.90909,                0.90637,                0.61401,                      0,                      0,                      0,                      0,                 1.1372,                 10.264,                      0,                0.95286,                 1.3381,             0.00062733,             0.00062733,             0.00062733
                     12,                0.78242,                  9.683,                      0,                0.82822,                 1.0804,                0.88946,                0.81818,                0.88269,                0.55259,                      0,                      0,                      0,                      0,                 1.3131,                 10.269,                      0,                 1.0442,                 1.4604,             0.00068475,             0.00068475,             0.00068475
                     13,                0.93467,                 9.1273,                      0,                 1.0019,                 1.2305,                0.86675,                0.72727,                 0.7634,                 0.5059,                      0,                      0,                      0,                      0,                 1.5458,                 10.396,                      0,                 1.0651,                 1.6761,             0.00074194,             0.00074194,             0.00074194
                     14,                0.83418,                 9.2775,                      0,                0.79985,                 1.0876,                0.66305,                0.72727,                0.64182,                0.38129,                      0,                      0,                      0,                      0,                 1.5276,                 10.399,                      0,                 1.0494,                 1.6613,             0.00079889,             0.00079889,             0.00079889
                     15,                0.89935,                  9.845,                      0,                0.81585,                 1.1555,                0.65758,                0.54545,                0.56752,                0.28901,                      0,                      0,                      0,                      0,                 1.6779,                 10.204,                      0,                 1.5657,                 1.9595,             0.00085561,             0.00085561,             0.00085561
                     16,                 0.8397,                 9.0855,                      0,                0.84995,                   1.12,                0.46771,                0.79961,                0.47081,                0.27694,                      0,                      0,                      0,                      0,                 1.5828,                 10.266,                      0,                 2.3304,                 1.9878,             0.00091208,             0.00091208,             0.00091208
                     17,                0.88158,                 8.7292,                      0,                0.83181,                 1.1321,                0.69251,                0.63636,                0.67506,                0.30937,                      0,                      0,                      0,                      0,                 1.4814,                 10.152,                      0,                 2.1275,                 1.9157,             0.00096832,             0.00096832,             0.00096832
                     18,                 0.8389,                 9.2635,                      0,                0.80879,                 1.1288,                0.76986,                0.61045,                0.63651,                0.35616,                      0,                      0,                      0,                      0,                 1.6584,                 9.8552,                      0,                 1.9906,                 2.0318,              0.0010243,              0.0010243,              0.0010243
                     19,                 0.8225,                 8.6816,                      0,                0.73619,                  1.091,                0.50354,                0.63636,                 0.5253,                0.31131,                      0,                      0,                      0,                      0,                 1.5156,                  9.935,                      0,                 2.1253,                 1.8568,              0.0010801,              0.0010801,              0.0010801
                     20,                0.90108,                 8.7053,                      0,                0.77799,                 1.1701,                0.53656,                0.63636,                0.55555,                0.34435,                      0,                      0,                      0,                      0,                 1.4607,                 9.7297,                      0,                 2.1789,                 1.8233,              0.0011356,              0.0011356,              0.0011356
                     21,                 0.8176,                 9.3383,                      0,                0.81214,                 1.0819,                0.61431,                0.63636,                0.64937,                0.39388,                      0,                      0,                      0,                      0,                 1.4102,                 9.9489,                      0,                 2.3506,                 1.9838,              0.0011909,              0.0011909,              0.0011909
                     22,                0.77127,                 9.0786,                      0,                0.71049,                 1.0776,                0.57602,                0.63636,                0.57739,                0.33216,                      0,                      0,                      0,                      0,                 1.3226,                 10.147,                      0,                 2.9093,                 1.9693,              0.0012459,              0.0012459,              0.0012459
                     23,                 0.8811,                 8.6921,                      0,                0.81243,                 1.2265,                0.60288,                0.54545,                0.53232,                0.19215,                      0,                      0,                      0,                      0,                 2.0321,                 10.276,                      0,                 2.9555,                 2.6214,              0.0013008,              0.0013008,              0.0013008
                     24,                0.88293,                 8.6867,                      0,                0.71448,                 1.1585,                0.41191,                0.45455,                0.34873,                0.13561,                      0,                      0,                      0,                      0,                 2.1917,                 10.322,                      0,                 2.8442,                 2.9817,              0.0013553,              0.0013553,              0.0013553
