                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0785,                 3.3555,                 0.3127,                0.93099,                 1.2117,                0.75895,                0.68343,                0.76199,                0.50584,                 0.6298,                0.50055,                0.47223,                0.17271,                 1.2021,                 4.3534,                0.39785,                 1.1205,                 1.3276,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.3121,                 4.5652,                0.37833,                 1.2537,                 1.3553,                0.63308,                0.53073,                0.55613,                 0.2939,                0.40178,                0.25512,                0.18893,                0.04567,                 1.6573,                 6.1991,                0.55464,                 2.8928,                 1.7421,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.5083,                 5.4559,                0.42042,                 1.4881,                 1.5112,                 0.4148,                0.42458,                0.32603,                 0.1463,                0.16232,                0.14525,                0.05161,                0.01119,                 2.0122,                 7.1885,                 0.6911,                 2.7913,                 2.0266,              0.0019402,              0.0019402,              0.0019402
                      4,                 1.5435,                 5.8598,                0.43962,                 1.5768,                 1.5419,                0.56846,                0.48603,                0.51997,                0.25187,                0.44172,                0.24581,                 0.1991,                0.05256,                 1.8434,                 6.2946,                0.49777,                 2.5076,                  1.937,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.5697,                 5.8878,                 0.4381,                 1.5608,                 1.5654,                0.59396,                0.50123,                0.54035,                0.27625,                0.39658,                 0.2067,                0.17954,                0.04802,                 1.8927,                 6.3427,                0.53365,                 1.7583,                 1.8425,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.5873,                 5.9897,                0.44507,                   1.62,                 1.5893,                0.65742,                0.49348,                0.55353,                0.28991,                 0.4141,                0.22346,                0.18859,                0.04548,                 1.7195,                 6.1266,                0.43936,                 1.9864,                 1.7739,               0.001901,               0.001901,               0.001901
                      7,                 1.5257,                 5.9234,                0.43401,                 1.5472,                 1.5413,                0.67162,                0.53322,                 0.6204,                0.33999,                0.47775,                0.25698,                0.21881,                0.05405,                 1.5868,                 5.6919,                0.44869,                 1.6028,                 1.6288,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.4983,                 5.7427,                0.43586,                 1.5245,                 1.5147,                0.72497,                0.47114,                0.57381,                0.31909,                0.40927,                0.22346,                0.17559,                0.04235,                 1.6673,                 6.2362,                0.49757,                 1.8227,                 1.7394,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.4691,                 5.5728,                0.42498,                 1.4812,                 1.4949,                0.70468,                  0.591,                0.65275,                0.34793,                0.50287,                0.29609,                0.27553,                0.08313,                 1.6442,                 5.5476,                 0.4302,                 1.5229,                 1.7161,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.4289,                  5.493,                0.40785,                 1.4405,                 1.4895,                0.72691,                0.58491,                0.67271,                0.37944,                0.58835,                0.35009,                0.32179,                0.08577,                 1.4795,                  5.331,                 0.4129,                 1.4961,                 1.5466,               0.001802,               0.001802,               0.001802
                     11,                 1.4469,                 5.4018,                0.40426,                 1.4302,                 1.4904,                0.73196,                0.59404,                0.68209,                0.40032,                0.50609,                 0.3594,                0.31205,                0.09409,                 1.4785,                 5.4326,                0.41307,                 1.5071,                 1.5498,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.4021,                 5.2708,                0.40851,                 1.4054,                 1.4668,                0.72916,                0.58657,                0.68926,                0.38724,                 0.5577,                0.36685,                0.33313,                 0.0972,                 1.4892,                 5.3262,                0.41541,                 1.4966,                 1.5456,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.4017,                   5.39,                0.40691,                 1.3933,                 1.4519,                0.70943,                0.64432,                0.69707,                0.42124,                0.59077,                 0.3352,                0.31795,                0.10015,                 1.4411,                 5.2327,                0.41723,                  1.392,                 1.5237,              0.0017278,              0.0017278,              0.0017278
